,Parameters
Informer-MSE,19587622
USAD,10609
DAGMM,10516
TranAD,149570
Informer-SMSE,19587622
OmniAnomaly,18490
MERLIN-S,5592099
MERLIN-P,209775378
1L-Method 3,38
1L-Method 4,114
